,Company,Title,Address,Emp_type,Seniority,Industry,Salary,Responsibility,Requirements
1354,TELEPATHY LABS PTE. LTD.,Senior Java Developer,"HAVELOCK2, 2 HAVELOCK ROAD 059763",Full Time,"Professional, Senior Executive",Information Technology,"$6,000to$9,000","Roles & ResponsibilitiesWe're thinking big and are ready to disrupt the current enterprise landscape integrating AI with Business. And if you have the appetite for it, you will fit right in. We've assembled an amazing team of experienced engineers in a variety of disciplines: traditional application design, web application development, machine learning, natural language processing, distributed and high-performance computing. Our Singapore location is responsible for delivering the cloud-native operational platform which includes such critical services as orchestration, identity management, content management, configuration management, session management, data collection and performance monitoring. We are looking for experienced Java Developers to help build and scale these microservices, including:  Working with Platform Software Architects to build microservices, APIs, background jobs and related tools; Assisting with client implementations by building custom business-logic with web service access; Contributing and conforming to our company’s design principals and coding standards; Taking pride and ownership in your work as demonstrated through careful implementation, clean source code, thoughtful documentation and proper unit tests; Staying current with modern development practices, including continuously developing new skills as needs arise.  We hire smart people, the more intelligent the better, and you need to be able to check your ego at the door. We're a family.","Requirements Minimum of 8 years software development experience with at least 5 years in Java based development of commercial web-based products; Demonstrable competence in Java, Spring Boot, Spring Cloud, Maven (or similar build environment); Ability to operate in a start-up environment that is culture driven; Pluses include:  Experience with at least one container orchestration framework (Docker Swarm, Kubernetes, Mesos, etc.); Experience with technologies such as Event Sourcing, Couchbase, Elastic Search, Redis, MongoDB, ActiveMQ, RabbitMQ or Kafka; Big Data system engineering experience; Experience in continuous integration and continuous deployment; Experience in Agile Scrum development; Experience in product development engineering environment; Experience in using open sources; Experience in using Github, Confluence and Jira; Experience in using Linux and AWS; Experience in code review; Experience in test development. We offer competitive pay and equity participation to all employees.      "
1355,SINGAPORE AIRLINES LIMITED,Data Sciences & Analytics Engineer,"AIRLINE HOUSE, 25 AIRLINE ROAD 819829",Permanent,"Professional, Executive",Information Technology,"$4,000to$8,000","Roles & ResponsibilitiesSIA has implemented the Enterprise Information Management (EIM) platform which is the single, integrated and comprehensive repository of enterprise data. Our Data Engineering Team is looking for Data Engineers to help us continue to build out our data infrastructure, making available to the business users the right data at their fingertips and supporting the business in big data analytics.        Responsibilities of the Data Engineer include:       Administration and monitoring of the EIM systems to ensure EIM operations run efficiently with the desired SLA and security compliance. Monitoring performance and advising any necessary infrastructure changes to the EIM landscape. Work with the infrastructure teams to implement such changes. Design and develop architecture for data services ecosystem spanning Relational, Columnar, NoSQL, In-Memory, Data Warehouses and BI & Big Data technologies. This include designing and implementing data pipelines & ETL processes. Design data models for mission critical and high volume data management, real-time and distributed data process aligning with the business requirements. Promote and develop data architecture best practices, guidelines, procedures and repeatable and scalable frameworks. Work with business units on their analytics initiatives, providing the data science expertise and resources besides being responsible for extracting the data from EIM as required for the project. Work with analytics vendors, providing the data sets as required and support the business users in assessments & validation of the analytics/statistical & machine learning models. Work with and help business units with tools like Tableau to visualize and create dashboards with the relevant data in EIM. Work closely with our application teams to operationalise & integrate analytics/machine learning models into our production systems. ","Requirements BS in Computer Science or other related discipline is required. Advanced degree related to Analytics, Machine Learning & AI preferred. At least 3 years of relevant industry experience in following areas:     Knowledge and working experience with Machine Learning, AI, statistical techniques, and information retrieval as well as on data management systems, practices and standards. Knowledge and working experience with at least one visualization tools like Tableau, PowerBI, Qlik, or similar open source tools. Working experience in architecting highly performant databases using RedShift, PostgreSQL and Cassandra or NoSQL. Knowledge & working experience in Big Data technologies like In-Memory, New SQL, NoSQL, Hadoop Hive/Spark, etc Knowledge & experience in shell scripting, R, Python, Perl, Ruby, or any other scripting language. Should be proficient in at least shell scripting and R or Python. Experience with commercial ETL platforms with in-depth knowledge and understanding of ETL methodology & design supporting data transformations layer. Working experience with Ab Initio would be a bonus.   Strong knowledge and experience with Agile/Scrum methodology and iterative practices in a service delivery lifecycle is a PLUS. Working experience in an AWS or similar public cloud environment is another PLUS Excellent interpersonal & communication skills and proven ability as a problem-solver. Candidate to indicate in the application his/her strengths in data engineering and data science, and his/her preference. "
1356,EPAM SYSTEMS PTE. LTD.,Senior Business Analyst,"SPORE BUSINESS FEDERATION CTR, 160 ROBINSON ROAD 068914","Permanent, Full Time",Senior Executive,Information Technology,"$7,000to$110,000","Roles & Responsibilities  Responsibilities  Key in driving and supporting migration of data from the legacy on-premise Human Resource system application to the future Cloud hosted Human Capital Management (HCM) system. Work with data owners to understand legacy data, gather data requirements, and interpret and design solutions to meet those requirements. Reviewing gaps and proposing a solution for data migration during the solution design phase. Produce detailed data mapping documents. Assess and recommend tools, scripts, queries or applications for accessing, analyzing, converting and migrating data between databases or from csv files to databases Reverse engineer data models. Owning the quality of the migrated data including archive data, troubleshoot data quality issues and work towards data cleansing. Identifying the data migration impact of all proposed changes. Maintain the security, data integrity, and availability of data in UAT and production environments. Partner with the HRIS to proactively manage stakeholders’ expectations, communicate timelines, and solve database issues promptly. Serve as the data migration point of contact during the migration process. Reviewing the existing Data Migration Strategy, recommend modifications (if required) and deliver an updated Data Migration Strategy document incorporating agreed upon changes.  Develop a Data Migration Test Plan to support validation of extracted/transformed data by stakeholders and manage the plan prior to delivery of data for any mock migration or cutover activity.  Provide data migration support for tasks leading up to, and following, transition to the designated HCM solution.  Analyzing the method of transforming existing data into a format for the new environment and the loading of this data into other database structures. ","Requirements Degree (and above) in Information Technology or Computer Science. At least 10 years’ experience implementing/supporting Oracle PeopleSoft HCM, ETL and/or ELM (version 9.1 & above) preferable. At least 8 years’ experience migrating/converting data from legacy applications to a new target application environment including to source and downstream systems. Deep experience in conversion requirements gathering, data mapping, data cleansing, data source gap analysis, conversion specifications documentation, designing conversion components, developing conversion standards, development and execution of SQL-based scripts, functions, and/or packages to support data analysis, developing end-to-end conversion test plans, executing conversion test cases, documenting conversion results, tracking and resolving conversion defects, etc.  Experience with Core development skills that include PL/SQL, SQL, SQL*Loader, Oracle Application framework, People soft SQL developer. Able to take on tasks with little direction, and produce high-value deliverables in a fast-paced environment. Meticulous, Self-starter and independent worker yet a team player. Have excellent communication, attention to detail, analytical, resourceful and great problem-solving skills. Possesses and displays excellent verbal, written communication, presentation, interpersonal skills and ability to influence stakeholders and partners across vendors and teams. Able to converse in mandarin preferable (to support China and Taiwan). "
1357,GOOGLE ASIA PACIFIC PTE. LTD.,Staffing Channels Lead - Singapore,"MARINA BAY FINANCIAL CENTRE, 8 MARINA BOULEVARD 018981",Full Time,Manager,Human Resources ,"$9,150to$18,300","Roles & ResponsibilitiesCompany overview: Google is not a conventional company, and we don’t intend to become one. True, we share attributes with the world’s most successful organizations – a focus on innovation and smart business practices comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel. At Google, we know that every employee has something important to say, and that every employee is integral to our success. We provide individually-tailored compensation packages that can be comprised of competitive salary, bonus, and equity components, along with the opportunity to earn further financial bonuses and rewards. Googlers thrive in small, focused teams and high-energy environments, believe in the ability of technology to change the world, and are as passionate about their lives as they are about their work. For more information, visit www.google.com/careers. The area: People Operations Great just isn't good enough for our People Operations team (you probably know us better as ""Human Resources""). Made up of equal parts HR professionals, former consultants and analysts, we're the champions of Google's colorful culture. In People Ops, we ""find them, grow them, and keep them"" - we bring the world's most innovative people to Google and provide the programs that help them thrive. Whether recruiting the next great Googler, refining our core programs, developing talent or simply looking for ways to inject some more fun into the lives of our Googlers, we bring a data-driven approach that is reinventing the human resources field. The role: Staffing Channels Lead - Singapore It takes innovative people to build innovative teams. Our Staffing Channels Leads rely on analytics to challenge conventional thinking and make Google a smarter, more diverse place. Leading a team of creative, ambitious Staffing Channels Specialists, you will improve and redefine the systems that help secure the most coveted technical leaders and thinkers in our industry. The needs of our clients are varied, complex, and global in scope. To meet these demands for hiring managers around the world, you will find novel ways to motivate your team in its pursuit of lofty hiring goals, and influence staffing leaders with rich, meaningful narratives built around data. And you’ll do this while ensuring the clients and candidates that move through your hiring process have a wonderful experience they’d find nowhere else but Google. Responsibilities:  Supervise a team of Staffing Channels Specialists. Create, steer, and evolve a talent acquisition strategy that anticipates the needs of our business and will grow in scale and efficiency under your direction. Think creatively and love data: Influence high-level decisions and ensure a marvelous experience for the candidates your team engages by thinking abstractly and approaching your work in creative ways. Build strategies using the powerful analytical tools available to you, and use them to improve our operations in ways we haven’t thought of yet. Ensure your team contribute to the industry’s perception of our company and reflect Google’s passion for technology and company culture. Encourage your team to do their jobs in thoughtful, unconventional ways so that the candidates they work with sense that your team is different from the moment they speak with one of its members. Have open, intelligent, and thoughtful dialogue with staffing leaders and global engineering and operations clients. Develop an understanding of their technical challenges and use this to inform the way you manage and communicate with your team. Make Google a smarter, more diverse place: Champion Google’s diversity initiatives, and continue to grow our company while making the world of technology a more inclusive, unique place. ","RequirementsMinimum qualifications:  BA/BS degree or equivalent practical experience. Experience in team leadership and candidate development. Recruiting/sourcing experience, including experience with recruiting information/applicant tracking systems.  Preferred qualifications:  Previous experience in an analytical role, such as management consulting, business intelligence or corporate strategy. Ability to consistently and positively contribute in a fast-paced, changing work environment while prioritizing multiple functions and tasks, and managing time efficiently. Ability to consult, influence and manage clients. Ability to drive efforts and projects using relationships and a broad knowledge base. Excellent analytical skills and attention to detail. Effective communication skills including the ability to communicate complex analytics in a structured and clear manner. "
1358,Republic Polytechnic,School of Management and Communication - Lecturer  /  Senior Lecturer (Digital Business),9 WOODLANDS AVENUE 9 738964,Full Time,NONE,"Education and Training, Public / Civil Service",NONE,"Roles & ResponsibilitiesJob Responsibilities Facilitate Student Learning, Develop Curricula, Deliver Enrichment and Professional Development Activities, and/or provide Project Supervision in the following areas: • Digital Business Models And Landscape • E-Commerce Platform And Digital Ecosystem • Opportunities Spotting And Competitive Digital Intelligence With Digital Tools • Business Analytics • Lean Start-Up • Digital Marketing Strategies • Content Marketing And Storytelling • Evaluating Digital Campaigns Job Requirements • Possess a Degree, preferably in Business/Digital Marketing/Technology-Related Field • Preferably with at least 5 years of Industry Experience in Development, Execution and Evaluation of Digital Business Transformation Strategies, E-Commerce and Digital Marketing Strategies   • Proficient use ff Digital Technologies, Digital Market Platform and Digital Marketing Analytics • Good Communication Skills • Possess Industry Linkages for Student Projects   ",NONE
1359,ENGINE BIOSCIENCES PTE. LTD.,Senior Bioinformatics Specialist,"SPORE BUSINESS FEDERATION CTR, 160 ROBINSON ROAD 068914",Permanent,Professional,Healthcare / Pharmaceutical,"$90,000to$140,000","Roles & ResponsibilitiesEngine Biosciences is a venture-backed biotechnology company discovering and developing novel therapeutics and precision medicines, utilizing a proprietary platform that integrates massively parallel biological experimentation with data science, machine learning and AI.  Led by scientific experts from MIT, Harvard, Mayo Clinic and UCSD, and successful drug developers, informaticians, and company builders, Engine is working on multiple programs and therapeutic areas and growing rapidly across US and Asia. The Sr. Bioinformatics & Data Scientist will analyze multi-dimensional biological and genomics data, enhance algorithms and develop novel methods for the utilization in Engine’s analytics platform that combines advanced system biology analytics with genomics data science and machine learning for accelerated drug discovery and biomarker identification.  The successful candidate will bring extensive hands-on industry experience in bioinformatics, algorithm development, in-silico drug discovery, data science, machine learning and cloud compute.   As a Sr. Bioinformatics and Data Scientist, you will collaborate globally with Engine’s teams and external partners in Asia, US and EU.     Extensive hands-on industry experience in Next Generation Sequencing (NGS) and multi-dimensional omics data analysis, algorithm development and machine learning in application for drug discovery and biomarker identification. Real time analytics, predictive models, classification, in-silico validation, queries and visualization of high throughput biological data. Strong peer reviewed publication record in bioinformatics, data science and machine learning. Experience in biological interpretation, pathway analysis and disease biology. Amazon Web Services (AWS) experience including DevOps, Security, VPC, EC2, EMR, Docker, SPARK, ElasticSearch, Lambda, Redshift, and Amazon Machine Learning (TensorFlow, MXNet). Experience working across multiple time zones with executive leadership, scientists and engineers. ","Requirements Ph.D. in Bioinformatics / Statistical Genetics / Machine Learning / AI, or related field. 3 years of industry experience in bioinformatics, genomics data analysis, algorithm development and machine learning. 3 years of industry experience in cloud based (e.g. AWS) data science. Programming skills in Python, AngularJS, Node.js., Java. R., Matlab, SQL and NoSQL dbs. Agile development methodologies such as SCRUM and Kanban. Strong communication and global collaboration skills. "
1360,COGNIZANT TECHNOLOGY SOLUTIONS ASIA PACIFIC PTE. LTD.,Java Architect - Python Development,"PLAZA 8 @ CBP, 1 CHANGI BUSINESS PARK CRESCENT 486025",Full Time,"Manager, Professional",Information Technology,"$9,000to$13,200","Roles & Responsibilities Perform as Subject Matter Expert on custom applications hosted in premise Perform hands-on development on Java 8, Spring-Boot and MongoDB is required Creating RESTful architecture with high level of security Perform hands-on work in Python and Numpy Perform the role of a Scrum Master in an Agile environment Setup and maintain CI/CD environment and pipeline Interface with diverse team in different time zones (US, India, UK) on a case by case basis Perform development, administration, maintenance and upgrade of secured role based access systems Implement and deploy patches and upgrades on existing custom developed Java & Python based applications Perform ground-up green field development in both business application development as well as machine learning based development Maintaining good engineering metrics using Sonarqube, PMD, CheckStyle etc ","Requirements Minimum 10 years of working experience or equivalent in related field Minimum 8 years of Core Java experience Experience on Java 8 (only basics or theoretical knowledge will not do) Experience on Spring-Boot, RESTful web services and Security concepts Experience on NoSQL databases like MongoDB and SQL databases like Oracle Experience on CI/CD pipeline using Jenkins environment Experience in JUnit, Mockito for writing effective unit tests Experience in JMeter and Load Runner to do performance tests Linux knowledge is mandatory and shell scripting knowledge is preferred. Knowledge in Hadoop, Spark is preferred "
1361,TOOKITAKI HOLDING PTE. LTD.,LEAD ENGINEER (RECON),"HIGH STREET CENTRE, 1 NORTH BRIDGE ROAD 179094",Permanent,Senior Management,Information Technology,"$8,000to$12,000","Roles & ResponsibilitiesThe engineering team is responsible for building a robust predictive platform, which can add significant value to the BFSI vertical in solving operational and compliance risk problems. We take pride in building the system right and continuously evolving it. You have the freedom to choose right tools for the task. We also encourage to participate in and contribute to open source community. Our Ideal Candidate Our engineering team is looking for a lead backend engineer with a work experience of 8+ years. The candidate would be responsible for contributing to product development and would be considered a good fit if he/she: • Ships high quality code and believes in TDD • Has deep experience with one or more programming languages such as Java, Scala and Python • Has experience designing micro-services or service-oriented architectures • Has experience working with one or more distributed NoSQL stores • Has experience working with and understanding of Relational Databases • Has experience working with one or more cloud providers, preferably AWS • Enjoys digging into open-source projects and contributing back • Has the ability to lead and mentor other members in the team • Is well versed with tools of the trade - Git, IDEs, and build tools • Has a keen desire to learn and grow • Prior experience with Hadoop and Spark ecosystem would be considered a plus • Prior experience working with or understanding of Machine Learning would be considered a plus",RequirementsEducational/Professional Requirements • Master’s or Bachelor’s in Computer Science or related quantitative discipline from a reputed institution • Work experience of 8-10 years
1362,BIGO TECHNOLOGY PTE. LTD.,Big Data Engineer,"SUNTEC TOWER THREE, 8 TEMASEK BOULEVARD 038988",Permanent,Senior Executive,Information Technology,"$4,000to$12,000","Roles & Responsibilities Build highly scalable and optimized data products/manage data sets via stream processing. Build tools and frameworks that ensure highest quality of data, make data discovery and data access easy for everyone at Bigo. Own the data products critical for product innovation and recommendation engines; define and drive the adoption of data logging standards Partner with various Engineering teams, UI teams, Product Managers and data scientist to understand the business context ","Requirements You have coding experience in one or more programming languages (Scala, Java, C++, etc…) Familiar with the mainstream distributed processing framework - Hadoop, hive, flink or Spark programming. Excellent communication skills and teamwork skills. "
1363,ALLEGIS GROUP SINGAPORE PRIVATE LIMITED,Business Analyst - Scrum Master IT,"SUNTEC TOWER FIVE, 5 TEMASEK BOULEVARD 038985",Contract,Executive,"Banking and Finance, Information Technology","$6,000to$9,000","Roles & Responsibilities   Review and understand key business policies and processes in Wealth Management, with an emphasis on client interactions and front office productivity (e.g., process of initiating and completing the sale of mutual funds).  Identify critical pain-points, and articulate how planned / in-flight technology projects will solve them (e.g., change paper forms to electronic workflows). Develop and maintain a vision for agile technology projects and be responsible for communicating that vision to the scrum team. Be responsible for agile technology projects and features from concept to final implementation. Work with architects, business stakeholders and development teams to ensure that business, quality and functional goals are met with each release.  Be responsible for the design, usability, quality and delivery of agile technology projects and features. Engage the decision maker on priorities and design decisions, and work to ensure that all stakeholders are aligned at each stage of the agile development lifecycle. As PO you’ll need to understand both the engineering and business side of releases and be ultimately responsible for representing the end user’s needs. Provide business input on requirements to the technology project teams.  Work with subject-matter experts in product teams, front office and operations on requirements (e.g., a new electronic workflow to simplify layers of checking, or to auto-populate repeated fields in client forms).  Prioritise “must have” items vs. “good to have”. Review technology plans and design specifications, to ensure business requirements are met and that benefits will be delivered.  Identify impact on critical processes within the Bank’s operational risk framework, and work with process owners and project teams to ensure robust controls.       ","Requirements 5+ years’ experience in an insurance product-related or change/transformation role of a bank’s wealth management or private banking unit.  Demonstrated knowledge of how wealth management processes and technology systems work.  Must have previous experience as a business Agile senior Business Analyst and be familiar with Product Owner responaibilties for Digital Insurance technology projects. Strong skills in conceptual and quantitative problem-solving, aligning a broad range of stakeholders from multiple functions, and executing against a tightly-defined timeline.  Experience in working with technology project teams, from the business perspective, a significant plus. Excellent professional skills, presentation & ability to simultaneously “see the big picture” and manage the details of implementation; ability to follow through on execution. Strong technical analysis background in Insurance systems in order to be able to understand technical recommendations "
1364,HTZ RESOURCES,Solution architect,"ORCHARD TOWERS, 400 ORCHARD ROAD 238875",Full Time,Professional,Information Technology,"$6,000to$10,000","Roles & Responsibilities Define system-level application architecture that includes high-level design, architectural policies and principles, design and programming guidelines, implementation risks and mitigation measures, software development and integration strategies, software configuration controls, etc Maintain control over the architect throughout the entire software development lifecycle by continuously making critical adjustments to the architecture to ensure desired results are achieved Involve in requirement analysis phase in project or tender to ensure the implementation feasibility of functional specifications. Highlight requirement gaps, disproportional construction efforts, technical challenges and any other issues to business analyst teams Provide technical leadership in the development through established design and development methodologies, to ensure system meets functional and system requirements Engage customers to explain the rationale of architecture’s selection, or other technical issues Ensure best practices, frameworks and re-useable components are employed in the development project Trouble-shoot technical problems faced by the project team Contribution to organizational development thru sharing best practices. Developing and conducting technical courses. Coach, train and mentor junior members Be involved in pre-sale activities as solution architect  when necessary ","Requirements At least 5 years’ experience with substantial project work in software design & development Strong technical experience in system / applications architecture design Experience in designing solutions using appropriate platforms and system technologies such as enterprise database design, web and application server and network technologies Certified in appropriate technologies is an advantage Self-motivated with a positive “can-do” attitude, creative with excellent presentation, communication, negotiation and interpersonal skills including strong persuasive techniques. Ability to lead, develop and maintain respectful and trusting relationship. Experience with substantial project work in large-scale data warehousing and analytics projects Experienced in design and build of enterprise Big Data solutions using modern data technologies (Hadoop, Spark, NoSQL, etc.) Best practices related to Big Data solutions using Hadoop, Spark, Hive, HBase, MongoDB, Cassandra, or Graph Databases. "
1365,PACTERA SINGAPORE PTE. LTD.,*Business Analyst,"CONNEXIS, 1 FUSIONOPOLIS WAY 138632","Permanent, Contract",Executive,Information Technology,"$4,000to$6,500","Roles & ResponsibilitiesResponsibilities:  ·        Lead requirements gathering and analysis workshops and meetings   ·        Conduct interviews and fact finding activities   ·        Identify and validate requirement gaps, resolve conflicts or propose viable alternatives   ·        Translate business requirements into functional and technical specification   ·        Effective bridge between business and technical communities to ensure applications are designed and built according to business and technical requirements   ·        Perform or supervise quality assurance activities to ensure applications built according to quality standards   ·        Perform impact analysis due to change requests, enhancements or re-work   ·        Manage business requirements within agreed scope, advise stakeholders of scope creep   ·        Produce professionally written functional requirements documents in a timely manner   ·        Supervise user-interface designers/developers to produce quality mock-up/prototypes to solidify understanding and capture of user requirements   ·        Present and effectively communicate validated requirements, functional design, mock-ups to stakeholders   ·        Produce timely management reports   Work with architect and technical leads to ensure conformance to technical requirements","RequirementsCritical attributes for success:  ·        Solution-oriented, able to grasp client’s business processes, functional, technical and operational requirements, and identify gaps, conflict in business requirements and present viable/optimum solutions   ·        Able to work independently, under pressure, with minimum supervision and under strict deadlines   ·        Driven to exceed expectation with positive outcome   ·        Good time keeper, person of integrity   ·        Possess inquisitive mind, able to question the status quo with tact and diplomacy   ·        Situation aware, able to differentiate facts from opinions   ·        Good communicator, good listener, able to discern non-verbal communication signals and overcome cultural differences   ·        Able to anticipate problems and failure points   ·        Commitment to quality, attention to detail   ·        Commitment to customer satisfaction   ·        Able to communicate effectively with all levels within the client organization, vendors and with stakeholders   ·        A people’s person who has excellent people management skills   ·        Possess problem ownership mindset and leadership qualities       Qualification and Experience:  ·        Recognized University degree in relevant discipline   ·        Minimum 3 years in IT industry and specifically in SDLC environment   ·        Minimum 2 years in business analysis capacity   ·        Posses process engineering and re-engineering experiences   ·        Good working knowledge of object oriented technologies, open systems, BPM tools, UML, HTML, Visio, MS Office   ·        Possess domain knowledge in one of the following: banking, finance, insurance, manufacturing, government, telcos   ·        Possess domain knowledge in Telcos industry will be an added advantage   ·        Posses ITIL experience will be an added advantage   ·        Willing to travel"
1366,DREAMSCAPE NETWORKS INTERNATIONAL PTE. LTD.,Senior Marketing Analytics Manager,"TAI SENG CENTRE, 3 IRVING ROAD 369522",Permanent,Manager,"Marketing / Public Relations , Others","$6,000to$8,000","Roles & ResponsibilitiesAs the Senior Marketing Analytics Manager, you will in consultation with the Group Marketing Lead, own and manage all Marketing analysis activities. This includes managing data, reporting, and analysis of insights to feed into specific and broader marketing campaigns and activities. You will also be required to provide administrative support, analysis, and reporting activities as needed. Your key responsibilities will include: 1.    Working closely with the Head of Customer Acquisition and Head of Customer Retention & Growth, own and manage all Marketing analytics, including (but not limited to): a.     Source and collect campaign data from various internal and external data sources and analyse results to provide ongoing weekly/monthly reports. b.     Develop and manage campaign databases, data collection systems, data analytics and other strategies that optimise reporting efficiency and quality. c.     Identify, analyse, and interpret trends or patterns in campaign data to provide insights for specific campaigns and the broader marketing activities. d.     Build attribution models to analyse cross-channel performance. 2.    Build data models and utilise existing data sources to analyse company sales trends, isolate performance deficiencies and identify opportunities. 3.     Support the implementation of new and upgraded technologies to achieve synergies and efficiencies. 4.     Build and implement comprehensive eCommerce analytics framework across the Group. 5.     Positively contribute to the overall marketing team and objectives.  ","RequirementsYou should have:        A Diploma/Degree in Data Analytics or equivalent or equivalent experience. Min. 5 years experience in a similar insight driven data analytics and reporting role with a focus on digital marketing analytics, preferably in B2C eCommerce businesses. Experience in building and managing teams in a multi-cultural environment and across multiple countries. Thorough reporting and analysis of marketing campaigns across digital channels. Best practice and usage of technical tools for Conversion Rate Optimisation (CRO) and A/B Testing. Usage of Business Intelligence (BI) tools (eg. Tableau, Power BI, Qlik, Sisense). Strong experience in SQL, DBM Systems and advanced Excel skills. Strong conceptual, problem solving and analytical skills. Excellent written and verbal communication. Excellent reporting and analysis skills. Ability to work in a fast moving environment, managing competing deadlines. Excellent project management, coordination and organisational skills. Be self-motivated and able to work with minimal supervision. "
1367,THATZ INTERNATIONAL PTE LTD,Business System Analysts,"THE ADELPHI, 1 COLEMAN STREET 179803",Permanent,Junior Executive,Information Technology,"$2,500to$4,500","Roles & Responsibilities Works with Subject Matter Experts & Application Specialists to identify & understand business/user/stakeholder requirements. Gathers, analyzes and documents business/user requirements.  Reviews and ensures alignment of requirements documented by users for projects involving different users (cross-functional). Performs and/or coordinates walkthroughs of user requirements/UAT strategy and obtains sign-off from users. Identifies the business needs, gaps and impact of the project and proposes feasible solutions. Develops user acceptance test (UAT) strategy and plan; coordinates the development of test scripts and steps prepared by business users. Coordinates and monitors progress of UAT, including monitoring and coordinating UAT logs and/or defects identified. Acts as liaison between the business users and the project team on business and user requirements. Reviews, analyzes and designs agreed business model or processes (where required) Provides or conducts “train-the-trainer” or initial training during implementation for projects involving new applications or modules. Works closely with Program/Project Manager on progress of project and discuss issues and risks. Continuously finds means and ways to improve operations, streamline work processes and work cooperatively and jointly with user departments to provide quality customer service. Ensures completion of documentation and filings. ","Requirements Three or more years of working experience in IT System Analysis and Design, business process analysis, data quality management, implementation and maintenance support Commodities or Insurance industry experience will be preferred. Proficient in business process improvement frameworks, data modeling, system solutions, integration and technical design. Experience with SAP Product or Commodities Risk and Compliance will be an added advantage. Proven ability to deliver results within budget and tight timelines. A leader, self-starter with the ability to multi-task and work independently. Excellent communication and interpersonal skills. Highly analytical and good troubleshooting skills. "
1368,SHIMANO (SINGAPORE) PRIVATE LIMITED,Senior Business Process Analyst,20 BENOI SECTOR 629852,Full Time,Executive,Information Technology,"$3,500to$5,500","Roles & Responsibilities Provide functional support in SAP production planning (PP) module. Responsible for business requirement gathering, system design and providing solution to fulfill business requirement while considering integration with other applications Able to validates as-is, to-be process flows and system integration from a users’ perspective, identifies potential work-around to system changes or limitations, identifies level of effort required to successfully implement changes to business processes and user activities Preparation and updating of SAP PP business blueprint, business flow diagram, functional specification, configuration, business process procedure and training documents to spell the business requirements Perform functional testing by select the valid test scripts for all business processing when plan for or carry out the system testing Provide helpdesk support and troubleshoot issues identify by users of regional subsidiaries (10 Plants) Able to identify, recommend and implement new improvement and functions Able to lead, facilitate or support system upgrading projects or new projects that introduce to regional subsidiaries ",Requirements Diploma or degree in Manufacturing Systems and Engineering / Computer Engineering / or Business Management With 3-4 years of production planning experience in manufacturing industry is preferable Analytical & meticulous and having good sense in troubleshooting Able to work independently and lead in projects Willing to travel to support subsidiaries in regional countries 
1369,MEDIACORP PTE. LTD.,"Lead, Digital Analytics",NONE,Permanent,Middle Management,Information Technology,"$10,000to$12,000","Roles & ResponsibilitiesThe Digital Analytics Lead will primarily be responsible for building and ensuring overall excellence in our digital analytics capabilities. He will also contribute to the team’s digital thought leadership. Responsibilities:   Drive digital analytics strategy and build new analytical frameworks to improve insights speed-to-market. This includes identifying and tracking key digital metrics across all brands and channels (web, mobile, social) Lead team of digital analysts to deliver actionable digital insights into online brand performance, digital engagement and revenue Partner Data Science and Consumer Insights teams to develop robust 360 view of our customers Partner Group Sales to deliver relevant insights for commercial requirements Support ad-hoc business intelligence and other strategic initiatives ","Requirements Extensive digital analytics knowledge i.e. SEO, PPC, web analytics, social media, UX etc Significant experience in using a range of web analytics (Adobe, comScore) and social media tools Hands-on experience in planning, executing and measuring campaigns across online and offline domains Experience with one or more data management platforms will be a bonus Adept at building strong relationships with senior internal and external stakeholders; comfortable meeting clients Must possess sound business judgment to identify core business objectives; synthesize and interpret disparate quantitative information, develop meaningful insights and clearly disseminate to key stakeholders Strong project management and time management skills Mix of agency-side and client-side experience preferred Minimum 10 years hands on experience in digital analytics Bachelor Degree in related discipline "
1370,KEPPEL DCS3 SERVICES PTE. LTD.,"Engineer, Data Centre Operations","KEPPEL BAY TOWER, 1 HARBOURFRONT AVENUE 098632",Full Time,Executive,Engineering,"$2,500to$4,000","Roles & Responsibilities To support the Facilities (FAC) Team Lead and the FAC Assistant Manager in the management, operation and maintenance of all facilities equipment / services and building management functions To supervise facilities management service vendors and ensure full compliance to the contract scope and expectations To support the Network Operations Centre (NOC) Team Lead and the NOC Assistant Manager in the management, operation and maintenance of all mission critical systems in NOC To attend to clients’ requests for technical assistance To generate incident reports and escalation To drive projects for continual improvement to existing systems and Standard Operating Procedures ",Requirements Degree / Diploma in Mechanical Engineering / Electrical Engineering / Facilities Management or equivalent Minimum 5 years of relevant experience in data centre operations  Strong analytical and communication skills 
